Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Алексеєнко,Марко,Олександрович,Чоловіча,1952-02-14,Футболіст,село Южне,"провулок Рекордний, буд. 1, Українськ, 44840",066 275-27-89,bohdan13@example.org
Гузенко,Орися,Тарасівна,Жіноча,1961-03-11,Клоун,селище Соледар,"вулиця Давида Ойстраха, буд. 47 кв. 12, Українка , 52506",+380 42 851 39 18,iosypiurchenko@example.org
Жарко,Емілія,Олександрівна,Жіноча,1982-06-14,Пекар,місто Сквира,"провулок Аеродромний 3-й, буд. 4 кв. 31, Щолкіне, 31082",+380 (17) 509-74-40,andrii23@example.org
Гоголь,Ольга,Юріївна,Жіноча,1979-03-26,Агроном,місто Дубляни,"вулиця 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 4 кв. 75, Синельникове, 22990",017 264 80 79,volodymyra06@example.com
Коваленко,Веніямин,Романович,Чоловіча,1953-06-01,Бібліотекар,хутір Шахтарськ,"парк Кощового отамана, буд. 08, Бар, 10364",602-57-81,varvarashynkarenko@example.org
Лукаш,Максим,Степанович,Чоловіча,1946-06-14,Ріелтор,хутір Вашківці,"провулок Балківська, буд. 1 кв. 476, Белз, 35070",064 491 51 85,bazavluchenkoviktoriia@example.org
Чайка,Руслан,Олегович,Чоловіча,1949-01-26,Різноробочий,селище Решетилівка,"площа Миколи Плигуна, буд. 718 кв. 991, Ужгород, 34219",+380 24 060-88-21,anzhelaandrusenko@example.org
Носаченко,Орися,Андріївна,Жіноча,1962-11-23,Євнух,хутір Олександрія,"площа Олександра Невського 2-й, буд. 78 кв. 9, Маріуполь, 42708",+380 51 287-77-13,alberthrechko@example.com
Артимишин,Надія,Богданівна,Жіноча,1994-07-10,Ветеринар,хутір Бобровиця,"вулиця Варненська, буд. 057, Одеса, 98239",078 901 59 52,tsymbaliukazar@example.com
Юрченко,Надія,Юріївна,Жіноча,1969-12-11,Ґрунтознавець,селище П'ятихатки,"шосе Вапняний 2-й, буд. 13, Енергодар, 07459",+380 39 667-52-83,nazar75@example.net
Голобородько,Дан,Іванович,Чоловіча,1993-11-27,Паблік рилейшнз,селище Очаків,"парк Восьмого березня 1-й, буд. 561, Прилуки, 54493",+380 18 471-94-10,bohdannakarmaliuk@example.com
Редько,Стефан,Олегович,Чоловіча,1942-12-23,Географ,селище Новомиргород,"сквер Виставочна, буд. 02 кв. 30, Ківерці, 06647",+380 21 009-72-93,xzhuk@example.com
Ірванець,Віталій,Юрійович,Чоловіча,1994-10-02,Режисер,селище Чугуїв,"шосе Злакова, буд. 1 кв. 5, Новомосковськ, 82881",+380 13 728 03 92,atroshchenkospas@example.net
Лагода,Богдан,Богданович,Чоловіча,1968-11-24,Етнограф,хутір Берестечко,"шосе Аеродромна, буд. 224 кв. 765, Дрогобич, 72911",580 20 21,iaroslavivasiuk@example.org
Остапчук,Володимир,Олександрович,Чоловіча,1993-12-01,Ді-джей,хутір Корець,"парк Травневий 3-й, буд. 0, Кропивницький, 20514",789 94 84,okhrymovychieva@example.net
Чередник,Степан,Іванович,Чоловіча,1992-01-07,Єгер,місто Немирів,"набережна Аполона Скальковського, буд. 3 кв. 6, Очаків, 43961",+380 88 687-02-68,alla25@example.net
Демʼянюк,Сніжана,Іванівна,Жіноча,1965-05-04,Вчитель,селище Буча,"узвіз Матюшенка, буд. 4 кв. 767, Богуслав, 02171",073 084-01-74,hennadii13@example.org
Данькевич,Соломон,Богданович,Чоловіча,1998-10-02,Будник,село Славута,"вулиця Поштова, буд. 7 кв. 486, Молодогвардійськ, 98086",+380 70 569-99-95,suprunenkoieva@example.org
Худяк,Роман,Тарасович,Чоловіча,1975-11-14,Слідчий,місто Синельникове,"площа Ювілейний 1-й, буд. 670, Підгородне, 62491",003 581 47 70,asuprunenko@example.net
Удовенко,Костянтин,Павлович,Чоловіча,1942-07-22,Епідеміолог,місто Моспине,"узвіз Зернова, буд. 6 кв. 5, Географія Вільнянська, 27364",+380 32 533 05 83,ielysaveta33@example.com
Кабаненко,Демид,Павлович,Чоловіча,1998-04-08,Лікар,селище Молодогвардійськ,"сквер Сабанський, буд. 40 кв. 977, Південне , 94001",+380 80 905-85-58,qhaidai@example.com
Чумак,Ліза,Євгенівна,Жіноча,1959-04-15,Бухгалтер,хутір Комарно,"узвіз Об'їзна дорога, буд. 163, Гайворон, 26397",+380 (85) 514-00-93,anton34@example.org
Шутько,Нестор,Миколайович,Чоловіча,2004-01-15,Кінокритик,село Червоноград,"набережна Сталепрокатна, буд. 186, Берислав, 62724",410-10-67,devdiukborys@example.net
Давиденко,Зорян,Михайлович,Чоловіча,1975-04-17,Бізнесмен,хутір Тячів,"вулиця Рівний, буд. 87 кв. 728, Олевськ, 25368",006 524 16 70,sliashko@example.org
Іщак,Богданна,Юріївна,Жіноча,1955-12-15,Кур'єр,село Мостиська,"шосе Якутська, буд. 73, Белз, 46482",247-95-75,petroieremenko@example.com
Шамрай,Данило,Тарасович,Чоловіча,1943-12-04,Клавішник,місто Хмельницький,"шосе 40-річчя оборони Одеси, буд. 89 кв. 2, Українка , 56022",+380 96 490-59-49,trokhymmazur@example.com
Ващук,Клавдія,Петрівна,Жіноча,1987-02-21,Дерун,село Радехів,"вулиця Надіїі, буд. 137, Червоносів, 81683",+380 75 278-37-76,iosyp52@example.org
Венгринович,Богданна,Миколаївна,Жіноча,1989-04-01,Агроном,село Бобровиця,"парк Монастирський, буд. 909, Мена , 38491",+380 32 650 77 99,marusiaparasiuk@example.com
Бабійчук,Герман,Романович,Чоловіча,1955-11-08,Єгер,селище Курахове,"шосе Абрикосовий, буд. 300, Конотоп, 50180",+380 (61) 782-59-36,varfolomii71@example.net
Охримович,Максим,Юрійович,Чоловіча,1939-05-27,Композитор,селище Тростянець,"парк Водний, буд. 473 кв. 89, Єнакієве, 79952",046 488-92-70,lupiianton@example.net
Конопленко,Олекса,Олександрович,Чоловіча,1961-04-03,Прокурор,селище Каховка,"провулок Миколаївська дорога, буд. 20 кв. 53, Шаргород, 18906",433-43-03,orysiazakharchenko@example.com
Гавриленко,Ігор,Степанович,Чоловіча,1973-12-10,Мовознавець,селище Кременчук,"парк Килимовий, буд. 308 кв. 6, Бахчисарай, 70933",+380 86 360 86 99,symonshukhevych@example.com
Козак,Омелян,Юрійович,Чоловіча,1986-11-30,Електромонтажник,селище Новоукраїнка,"проспект Транспортна, буд. 00 кв. 070, Лиман , 39021",089 393 99 86,opanas80@example.net
Заїка,Лариса,Андріївна,Жіноча,1939-01-19,Промисловець,село Лутугине,"площа Тінистий, буд. 4, Таврійськ, 81537",095 726 66 77,larysa59@example.org
Башполченко,Дарина,Миколаївна,Жіноча,1943-05-30,Сантехнік,село Луцьк,"набережна Степна, буд. 6, Старобільськ, 34655",637-02-37,emiliiatkachenko@example.com
Ващенко-Захарченко,Василина,Сергіївна,Жіноча,1960-04-30,Вчитель,місто Білопілля,"узвіз Куяльницький міст, буд. 442 кв. 34, Бердичів, 73120",+380 02 009-28-82,ctytarenko@example.org
Дробаха,Борис,Олександрович,Чоловіча,1940-12-02,Геолог,селище Сквира,"сквер Лодочний, буд. 06, Корець, 93836",097 722-18-54,panteleimonivanychuk@example.com
Свистун,Емілія,Володимирівна,Жіноча,1984-08-21,Круп'є,село Монастирище,"набережна Градоначальницька, буд. 23, Ватутіне, 39544",038 575-91-50,olena79@example.net
Величко,Михайлина,Василівна,Жіноча,1960-11-27,Кінорежисер,хутір Яворів,"сквер Урожайна, буд. 77 кв. 9, Зборів, 66784",+380 56 375-46-67,aaron62@example.net
Скиба,Марія,Сергіївна,Жіноча,2006-05-16,Реабілітолог,село Красноград,"вулиця Середня, буд. 432 кв. 881, Олександрія, 03290",868-13-19,danylo62@example.com
Стець,Клавдія,Євгенівна,Жіноча,1964-07-06,Кінолог,селище Лебедин,"площа Парашутний, буд. 97 кв. 035, Львів, 17908",+380 24 080-83-88,etsiupa@example.net
Іщак,Йосип,Юрійович,Чоловіча,1991-11-10,Режисер,селище Молодогвардійськ,"узвіз Балтський 2-й, буд. 1, Іллінці, 52089",221 31 42,zorian73@example.net
Давиденко,Устим,Юрійович,Чоловіча,1939-08-30,Агроном,селище Середина-Буда,"узвіз Дніпровська, буд. 0 кв. 93, Білицьке, 76078",550 94 19,amaliia27@example.org
Прокопович,Сергій,Юрійович,Чоловіча,1973-11-25,Астронавт,селище Радехів,"парк Дворянська, буд. 318, Верхівцеве, 25959",044 362 12 25,vitaliismyk@example.net
Вергун,Вʼячеслав,Євгенович,Чоловіча,1989-03-23,Музикант,селище Стебник,"сквер Військовий узвіз, буд. 41 кв. 428, Мерефа, 18507",+380 85 895 60 64,zirvanets@example.net
Корпанюк,Кирило,Тарасович,Чоловіча,1981-06-26,Флорист,село Алмазна,"вулиця Амурська, буд. 513, Зимогір'я, 28660",+380 63 845-76-85,ivan55@example.net
Авдєєнко,Мартин,Павлович,Чоловіча,1961-09-02,Візажист,місто Ялта,"вулиця Академіка Воробйова, буд. 80 кв. 817, Дунаївці, 79782",+380 90 004 07 59,omelian75@example.net
Малишко,Лариса,Миколаївна,Жіноча,1991-08-24,Ґрунтознавець,хутір Шумськ,"сквер Канатна, буд. 2, Херсон, 67085",011 487 40 48,oles35@example.com
Іванченко,Богодар,Романович,Чоловіча,1967-10-17,Музикант,хутір Синельникове,"сквер Студена, буд. 1, Яворів, 42041",+380 34 477-21-90,atroshchenkohennadii@example.net
Якимчук,Данна,Євгенівна,Жіноча,1954-12-17,Психолог,місто Біляївка,"провулок Кримський, буд. 214, Вільнянськ, 21174",+380 (70) 828-51-02,yvovk@example.org
Дашкевич,Назар,Георгійович,Чоловіча,1996-08-04,Кінорежисер,село Полтава,"узвіз Алмазна, буд. 52 кв. 6, Гірник , 04365",+380 (97) 773-55-06,demyd32@example.org
Терещенко,Адам,Володимирович,Чоловіча,1947-01-15,Стропальник,село Гуляйполе,"набережна Восьмого березня 6-й, буд. 3 кв. 593, Южне, 23779",+380 76 892-76-11,estus@example.org
Чалий,Георгій,Богданович,Чоловіча,1948-12-25,Складальник,селище Зимогір'я,"проспект Сурикова, буд. 664, Косів, 20791",080 707-91-56,boleslavabramchuk@example.com
Оліфіренко,Галина,Михайлівна,Жіноча,1989-07-26,Намотувальник,місто Барвінкове,"проспект Ковалевського узвіз, буд. 8 кв. 0, Бердянськ, 63412",794-83-12,ustym65@example.org
Яремчук,Лукʼян,Володимирович,Чоловіча,2000-02-20,Прокурор,село Ровеньки,"сквер Лузанівська, буд. 691 кв. 716, Селидове, 18052",174 07 37,mykhaliukihnat@example.com
Остапчук,Ігор,Олександрович,Чоловіча,1992-04-20,Штукатур,місто Славута,"набережна Семафорний, буд. 364 кв. 764, Новогродівка, 74409",+380 83 564-38-32,lysenkosofiia@example.com
Яремків,Леонтій,Юрійович,Чоловіча,1950-05-22,Психолог,місто Рожище,"шосе Нежданової, буд. 4, Переяслав, 96312",+380 26 313-54-47,sviatoslav73@example.org
Тарасенко,Ольга,Дмитрівна,Жіноча,1983-10-02,Кінокритик,хутір Зугрес,"набережна Бірюкова, буд. 395, Шпола, 72532",+380 82 022-22-51,serhii74@example.com
Дергач,Марко,Дмитрович,Чоловіча,1976-02-17,Ветеринар,селище Перемишляни,"узвіз Газова, буд. 4, Заставна, 22765",+380 33 272-63-40,oksana49@example.com
Баранник,Богодар,Михайлович,Чоловіча,1953-06-18,Професор,село Ізюм,"сквер Чорноморський, буд. 791, Залізне, 81250",+380 29 595 70 53,dannabashtan@example.net
Ємець,Демид,Богданович,Чоловіча,1989-12-01,Фармацевт,місто Южне,"проспект Восьмого Березня Лінія 1-ша, буд. 8, Фастів, 96908",+380 82 725-21-50,zaichenkonestor@example.com
Зінчук,Венедикт,Тарасович,Чоловіча,2001-10-29,Водій,селище Чигирин,"парк Новоселів, буд. 6 кв. 5, Остер , 84127",+380 62 053-52-25,handriievych@example.org
Ісаєвич,Аніта,Михайлівна,Жіноча,1987-10-04,Публіцист,хутір Мерефа,"проспект Обсерваторний, буд. 186, Старий Самбір, 50788",+380 98 466-02-18,bzaika@example.com
Аронець,Ада,Андріївна,Жіноча,1996-05-10,Живописець,село Моспине,"проспект Басейний 3-й, буд. 16 кв. 60, Мелітополь, 93026",075 983-68-95,iurchyshynroksolana@example.net
Деркач,Альберт,Степанович,Чоловіча,1984-01-20,Художник,хутір Білгород-Дністровський,"узвіз Палія Семена, буд. 517 кв. 92, Старокостянтинів, 30526",275 20 72,taras47@example.com
Шеремет,Мілена,Олегівна,Жіноча,1991-09-03,Історик,хутір Горішні Плавні,"вулиця Яблунева, буд. 423 кв. 0, Снятин, 08011",095 844-63-52,qmakohon@example.net
Колодуб,Костянтин,Володимирович,Чоловіча,1995-04-05,Реабілітолог,село Дунаївці,"проспект Рівності 1-й, буд. 308, Берислав, 36973",+380 (65) 969-30-91,panteleimon74@example.com
Удовенко,Федір,Сергійович,Чоловіча,1985-08-23,Ґрунтознавець,селище Шепетівка,"проспект Радіальний, буд. 3 кв. 96, Боково-Хрустальне, 95604",362 45 10,teodorarkhymovych@example.net
Корбут,Георгій,Васильович,Чоловіча,1941-11-19,Хімік,село Зіньків,"провулок Курганська, буд. 24 кв. 73, Коломия, 81751",336-23-32,habelkohryhorii@example.net
Ткач,Єлисей,Андрійович,Чоловіча,1953-11-29,Науковець,місто Сніжне,"шосе Академіка Вавилова, буд. 45, Ізмаїл, 39818",+380 43 126-82-52,aarondeineka@example.com
Захарченко,Панас,Павлович,Чоловіча,1967-07-04,Головний меркшейдер,хутір Кипуче,"узвіз Кісельова Ігоря, буд. 809, Хуст, 86696",+380 41 762 62 71,azarshamrai@example.org
Ватаманюк,Назар,Іванович,Чоловіча,1998-06-14,Співак,місто Новоград-Волинський,"сквер Стєклова, буд. 318 кв. 62, Тараща, 10831",045 524 87 35,sychmarusia@example.org
Бабариченко,Демʼян,Георгійович,Чоловіча,1975-07-26,Намотувальник,місто Волочиськ,"проспект Вернидуба, буд. 798, Зборів, 48266",+380 83 679-82-62,heorhiiavramenko@example.net
Вдовиченко,Орхип,Романович,Чоловіча,1950-06-12,Педагог,село Армянськ,"площа Михайлівська, буд. 22 кв. 00, Житомир, 88465",+380 59 165-47-73,ihnat88@example.com
Адамчук,Юстим,Васильович,Чоловіча,1962-11-06,Паралегал,село Олександрія,"шосе Лінія 35-та, буд. 8, Тетіїв, 43603",+380 (77) 636-18-74,okovalenko@example.com
Шамрай,Єлисавета,Михайлівна,Жіноча,2002-12-29,Водій,селище Липовець,"вулиця Топольського, буд. 38 кв. 68, Болехів, 27884",+380 62 241 27 29,svitlana06@example.com
Лубенець,Валерій,Дмитрович,Чоловіча,1953-08-06,Геолог,місто Шпола,"площа Уютна, буд. 90, Українка , 33531",+380 91 813-92-38,tkozachenko@example.com
Закусило,Антон,Васильович,Чоловіча,1958-03-12,Водій,хутір Перещепине,"вулиця Шилова, буд. 457 кв. 4, Роздільна, 44562",001 845 79 10,atamanchukoles@example.com
Щириця,Омелян,Євгенович,Чоловіча,1943-03-15,Паралегал,місто Тульчин,"набережна Іванова 2-й, буд. 19, Вилкове, 19804",013 902-18-16,kamillapelekh@example.org
Ванченко,Наталія,Степанівна,Жіноча,1992-06-29,Няня,селище Сватове,"шосе Об'їзна дорога, буд. 54 кв. 87, Тячів, 53890",+380 02 646 08 78,olehieshchenko@example.com
Жайворон,Леонід,Михайлович,Чоловіча,1972-12-26,Ріелтор,селище Хорол ,"площа Рівності 2-й, буд. 890, Суми, 45611",884 74 58,boryslav25@example.com
Фаренюк,Віра,Петрівна,Жіноча,1958-05-30,Археолог,хутір Коростишів,"площа Єліна, буд. 17 кв. 4, Дубно, 97491",022 992 65 55,abrahamovskaoleksa@example.net
Ісаєвич,Роман,Тарасович,Чоловіча,1972-11-11,Геофізик,село Південне ,"провулок Радіальний, буд. 3 кв. 039, Красилів, 63915",+380 (35) 943-46-83,alinaromanenko@example.org
Супруненко,Віра,Володимирівна,Жіноча,1990-02-10,Вчитель,селище Теплодар,"провулок Чубаївський, буд. 073 кв. 4, Кагарлик, 60489",064 921 17 53,mykhailosatsiuk@example.org
Терещенко,Зорян,Олегович,Чоловіча,2000-01-20,Льотчик,хутір Ужгород,"узвіз 5-та Лінія Марії Демченко, буд. 8, Путивль, 66598",+380 (84) 296-34-27,opanas31@example.com
Наливайко,Ірена,Богданівна,Жіноча,2004-05-02,Реставратор,місто Сокиряни,"парк Керченська, буд. 5, Антрацит , 97946",+380 (99) 848-82-61,ievhen26@example.org
Чайка,Демид,Олександрович,Чоловіча,1995-10-23,Музичний редактор,хутір Фастів,"проспект Висока, буд. 63 кв. 03, Хирів, 09797",031 316 70 50,roberemko@example.net
Дубенко,Віктор,Романович,Чоловіча,1979-07-05,Бухгалтер,хутір Рівне,"узвіз Авіаторів, буд. 2 кв. 956, Нововолинськ, 78472",760 90 10,rostyslavivanychuk@example.net
Охріменко,Світлана,Іванівна,Жіноча,1997-02-08,Медик,хутір Ізмаїл,"шосе Чорноморський 12-й, буд. 82, Жовті Води, 70901",+380 01 431-05-79,iarema65@example.net
Гук,Франц,Георгійович,Чоловіча,1995-04-02,Електромонтер,село Горохів,"сквер Амурський 4-й, буд. 3, Любомль, 49414",+380 (82) 517-44-20,darynahaidai@example.com
Ємець,Лукʼян,Євгенович,Чоловіча,1945-02-10,Швачка,місто Шумськ,"узвіз Восьмого березня 5-й, буд. 19, Гнівань, 38234",397 38 52,ttaran@example.net
Гаврилишина,Людмила,Миколаївна,Жіноча,1998-10-13,Хореограф,місто Путивль,"провулок Сєрова, буд. 2, Тисмениця, 52330",045 64 90,larysatarasenko@example.com
Ільєнко,Едуард,Сергійович,Чоловіча,1999-06-21,Письменник,хутір Вуглегірськ,"площа Донецька, буд. 779, Новояворівськ, 57610",+380 78 811-05-79,ihorartiukh@example.org
Гоголь,Ярема,Романович,Чоловіча,1994-06-26,Бізнесмен,хутір Монастириська,"сквер 1-ша Лінія 4-ї ст. Люстдорфської дороги, буд. 172 кв. 2, Ківерці, 55797",+380 79 964-78-18,viktoriiaduplii@example.net
Шелест,Франц,Вікторович,Чоловіча,1955-01-10,Хімік,село Ржищів,"провулок Нежданової, буд. 570 кв. 93, Глухів, 15939",+380 (89) 010-06-09,zbezditko@example.com
Василечко,Ірена,Володимирівна,Жіноча,1962-06-22,Редактор,село Мена ,"провулок Горбиста, буд. 5, Чоп, 75052",102 24 51,vrudko@example.net
Яременко,Еріка,Михайлівна,Жіноча,1940-03-18,Літературознавець,село Сулимівка (Слов'янськ),"проспект Ушакова, буд. 352, Виноградів, 46473",068 469-41-94,uvasylevych@example.com
Чередник,Альберт,Романович,Чоловіча,1998-08-08,Електромонтажник,селище Володимир-Волинський,"шосе Волна тупик, буд. 3 кв. 228, Новодністровськ, 63721",+380 (25) 096-46-81,zynoviinosachenko@example.net
Піддубна,Богданна,Вікторівна,Жіноча,1941-10-04,Кухар,селище Борзна,"набережна Десантний, буд. 849, Хрестівка, 91094",051 169-48-55,qzhalilo@example.net
Дубас,Михайлина,Вікторівна,Жіноча,1970-10-17,Реабілітолог,хутір Токмак,"проспект Посмітного, буд. 26 кв. 6, Кремінна, 59824",+380 74 936-11-65,gturkalo@example.net
Гузенко,Макар,Олегович,Чоловіча,2002-09-09,Ді-джей,хутір Богуслав,"вулиця Академіка Глушка, буд. 881, Мала Виска, 59018",040 833 71 46,andriilysenko@example.net
Журавель,Вʼячеслав,Богданович,Чоловіча,1972-10-06,Диригент,місто Монастириська,"провулок Дніпровська, буд. 6, Білозерське, 86697",590 22 93,dbashtan@example.org
Вишиваний,Назар,Миколайович,Чоловіча,1945-04-21,Ботанік,село Підгайці,"парк Сибірська, буд. 63 кв. 04, Устилуг, 31131",682 14 25,arkadii77@example.net
Лесик,Демид,Михайлович,Чоловіча,1976-10-30,Правник,хутір Червоноград,"проспект Сінна, буд. 7 кв. 073, Вижниця, 25569",048 584 94 61,vladyslavfilipenko@example.org
Зінкевич,Аркадій,Євгенович,Чоловіча,1961-12-09,Кінорежисер,хутір Овруч,"вулиця Академіка Богатського, буд. 397 кв. 51, Вільногірськ, 32359",094 417-79-67,tesliarostyslav@example.net
Вітер,Єлисавета,Павлівна,Жіноча,1970-04-14,Антрополог,село Новий Калинів,"парк Чорноморського козацтва, буд. 9 кв. 696, Бережани, 22297",+380 (95) 483-25-80,iieroshenko@example.org
Якимчук,Ігор,Олегович,Чоловіча,1972-10-09,Паблік рилейшнз,хутір Ворожба,"вулиця Аркаса Миколи, буд. 54, Коростень, 70957",+380 50 081 18 91,lukian46@example.com
Рябошапка,Марина,Євгенівна,Жіноча,1992-05-12,Фотограф,місто Кіцмань,"провулок Наявний 6-й, буд. 3 кв. 0, Авдіївка, 36745",707 78 10,pshvachko@example.com
Безбородько,Ольга,Олегівна,Жіноча,1957-07-17,Бізнесмен,хутір Заставна,"провулок Литовська, буд. 65 кв. 56, Новгород-Сіверський, 36023",+380 00 963 70 49,valentynabazavluchenko@example.net
Вергун,Ада,Миколаївна,Жіноча,1946-03-11,М'ясник,селище Буринь,"шосе Кордонний, буд. 924, Кривий Ріг, 20574",+380 (10) 866-33-21,yavramenko@example.com
Ванченко,Тарас,Сергійович,Чоловіча,1994-05-20,Локсмайстер,село Білгород-Дністровський,"проспект Утьосова, буд. 52 кв. 32, Галич, 46433",+380 (93) 003-29-29,khrystyna91@example.net
Жук,Климент,Андрійович,Чоловіча,1944-11-13,Музикант,місто Нетішин,"площа Ф. Пішеніна, буд. 9 кв. 9, Жданівка, 76740",+380 63 085-25-76,pliashko@example.net
Чарниш,Златослава,Сергіївна,Жіноча,1974-12-23,Каскадер,хутір Попасна,"провулок Болградська, буд. 6 кв. 99, Географія Вільнянська, 19093",+380 03 745-03-22,khoma30@example.com
Ковалюк,Дарина,Василівна,Жіноча,1998-03-30,Різноробочий,місто Кремінна,"парк Лиманчик 2-й Лінія 2-га, буд. 3, Радомишль, 18368",780 15 29,iaroslavtarasenko@example.com
Гайдабура,Любов,Тарасівна,Жіноча,1944-01-07,Випробувач,місто Подільськ,"провулок Варненська, буд. 85, Чернівці, 73614",955-84-12,solomiia17@example.net
Гук,Данна,Олександрівна,Жіноча,1961-06-28,Провізор,селище Авдіївка,"вулиця Кострова, буд. 4, Миронівка, 82769",570-32-72,maksymhavrylets@example.net
Артим,Феофан,Юрійович,Чоловіча,1983-10-28,Астронавт,місто Баштанка,"провулок Залізничний 3-й, буд. 750, Путивль, 02900",+380 (05) 643-04-00,symon19@example.net
Терещук,Симон,Степанович,Чоловіча,1942-07-08,Краєзнавець,село Дружківка,"узвіз Овідіопольський, буд. 37, Буськ, 60877",359-39-55,ydanyliuk@example.net
Цимбал,Юхим,Георгійович,Чоловіча,1983-04-25,Програміст,хутір Хмільник,"набережна Волниста, буд. 33 кв. 9, Селидове, 61900",+380 (39) 800-82-12,hunkobohdan@example.net
Салій,Азар,Володимирович,Чоловіча,2005-02-14,Ді-джей,селище Сторожинець,"площа Жоліо-Кюрі, буд. 97, Зимогір'я, 97016",+380 80 309-52-38,bohuslavavatamaniuk@example.net
Калениченко,Віолетта,Степанівна,Жіноча,1983-08-20,Круп'є,селище Керч,"сквер Псковський, буд. 27 кв. 4, Судова Вишня, 70130",+380 14 889-30-81,markotalan@example.com
Яценко,Одарка,Тарасівна,Жіноча,1948-10-19,Флорист,село Лозова ,"набережна Нечипуренка, буд. 3, Гірське, 41462",188-97-56,dereviankoiryna@example.org
Хомик,Володимир,Вікторович,Чоловіча,1946-05-24,Конструктор,село Зугрес,"шосе Чорноморський, буд. 81 кв. 54, Охтирка, 58697",033 563-58-05,iaryna75@example.org
Кармалюк,Варвара,Іванівна,Жіноча,1969-12-12,Єгер,село Докучаєвськ,"сквер Чорноморський 2-й, буд. 179, Зоринськ, 34757",084 183 15 54,prokhirchuiko@example.com
Артюшенко,Олекса,Богданович,Чоловіча,1951-04-09,Агроном,село Василівка ,"набережна Ламаний, буд. 173 кв. 8, Севастополь, 11039",+380 35 118 83 36,kyrylo77@example.com
Засенко,Ольга,Вікторівна,Жіноча,1940-12-18,Золотар,село Білгород-Дністровський,"парк Круговий, буд. 625, Яготин, 52075",023 903 49 38,umykhailiuk@example.com
Вітрук,Валентина,Миколаївна,Жіноча,1959-04-11,Фрілансер,хутір Берестечко,"вулиця Багрицького, буд. 55, Нова Каховка, 06025",459-60-30,illiakhrystych@example.org
Андріїшин,Богданна,Юріївна,Жіноча,1996-08-23,Випробувач,село Верхівцеве,"сквер 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 987 кв. 379, Яремче, 31748",080 537 71 41,rakleopold@example.net
Андрейко,Валентина,Михайлівна,Жіноча,2002-10-28,Сантехнік,місто Надвірна,"вулиця Братів Поджіо, буд. 29 кв. 99, Сновськ, 06239",+380 75 986-83-06,amvrosii79@example.net
Нестайко,Трохим,Тарасович,Чоловіча,1947-07-23,Швачка,селище Ромни,"проспект Десята, буд. 2 кв. 3, Полонне, 31360",082 387-12-42,rostyslav87@example.com
Вертипорох,Гаврило,Павлович,Чоловіча,1984-01-29,Футболіст,хутір Дружба ,"проспект Ванний, буд. 600, Хмельницький, 74118",066 905-66-90,symon74@example.org
Овсієнко,Леонтій,Вікторович,Чоловіча,1953-01-29,Юрист,село Вашківці,"вулиця Варненська, буд. 992, Слов'янськ, 68361",071 598-26-35,ustym07@example.org
Ющенко,Августин,Тарасович,Чоловіча,1971-01-02,Сантехнік,місто Верхньодніпровськ,"проспект Каспійський, буд. 5, Горохів, 77490",+380 82 437-51-03,teodor30@example.net
Скорик,Теодор,Олександрович,Чоловіча,2003-03-07,Правник,село Сімферополь,"площа Шостої 2-й, буд. 2 кв. 54, Географія Вільнянська, 56963",229 37 35,leonfilipenko@example.com
Романчук,Людмила,Дмитрівна,Жіноча,1968-09-14,Круп'є,місто Новодружеськ,"площа Золотий берег, буд. 1 кв. 7, Новий Калинів, 62555",+380 73 986-63-35,feofanrubets@example.com
Лаба,Йосип,Володимирович,Чоловіча,1965-12-29,Ботанік,місто Петрово-Красносілля,"вулиця Водопровідний 2-й, буд. 46, Галич, 34710",+380 45 138-05-55,ezaika@example.org
Шинкаренко,Йосип,Георгійович,Чоловіча,1978-10-08,Кінолог,місто Долинська,"провулок Сабанєєв, буд. 94 кв. 051, Сватове, 28838",281-17-32,amvrosii53@example.net
Лукаш,Ліза,Петрівна,Жіноча,1951-09-21,Нотаріус,хутір Старокостянтинів,"узвіз Дубовий гай, буд. 636 кв. 9, Болград, 83040",034 585-89-66,dankivvarvara@example.net
Чміль,Богуслав,Андрійович,Чоловіча,1976-10-29,Парфюмер,село Тростянець,"узвіз Церковна, буд. 2, Верхівцеве, 82094",493 78 83,snizhana37@example.org
Товстуха,Альбіна,Юріївна,Жіноча,1943-07-01,Професор,хутір Соснівка ,"узвіз Верстатобудівна, буд. 820 кв. 1, Теребовля, 47830",031 527 35 03,varfolomii67@example.com
Опанасенко,Лесь,Іванович,Чоловіча,1973-11-30,Журналіст,село Докучаєвськ,"провулок Ланжеронівська, буд. 84 кв. 53, Мерефа, 40117",084 180-28-72,onufriienkovarfolomii@example.net
Онищенко,Демид,Дмитрович,Чоловіча,1945-11-05,Актор,селище Глиняни,"набережна Академіка Гаркавого, буд. 12 кв. 988, Середина-Буда, 55545",+380 (98) 375-67-08,leonid48@example.net
Давимука,Пармен,Іванович,Чоловіча,1960-11-02,Ботанік,село Макіївка,"сквер Волзький, буд. 25, Валки , 38162",684 74 19,banderadavyd@example.com
Лисенко,Аліна,Олегівна,Жіноча,1998-09-12,Піаніст,село Новояворівськ,"провулок Ільфа і Петрова, буд. 2, Павлоград, 50457",971-79-07,orkhypkovaliuk@example.com
